Title,Title_URL,Image,Info,badgetext,ratingdate,partial_entry,View,Number,note,viamobile,talnk
"Good, if you get a table downstairs",https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r118728158-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/eb/6d/default-avatar-2020-19.jpg,Scott D,143 reviews,Reviewed 29 September 2011 ,"Excellent Thai, friendly service. Try not to get a table near the bins and crate, kind of spoils the ambience.",,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Great food!,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r109161019-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/de/e7/default-avatar-2020-37.jpg,AlexBarreto,2 reviews,Reviewed 21 May 2011 ,"One of the best Thai restaurants in Melb. 
The yellow curry chicken is unbelievable! Must try.",,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
best thai,https://www.tripadvisor.com.au/ShowUserReviews-g954016-d728729-r15322572-Thai_Saffron-Brighton_Bayside_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/de/e7/default-avatar-2020-37.jpg,,,Reviewed 1 January 2008 ,best thai,,,This review is the subjective opinion of an individual contributor and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Amazing Food Amazing Service,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r627412031-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e8/91/default-avatar-2020-62.jpg,jomallick,3 reviews,Reviewed 23 October 2018 ,The food at Rasa Rasa was so fresh and delicious.  It was a good fit for our family including our children aged 8 to 12. The service from both Justin and Swee was second to none. Highly recommend.,Date of visit: October 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
"Outstanding dishes, reliable gluten free options",https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r566963766-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/07/1c/2c/18/louise-h.jpg,Louise H,52 reviews,Reviewed 17 March 2018 ,Rasa Rasa continues to deliver authentic and very fresh and tasty Malaysian meals.  They even have a separate gluten free menu for those of us with Coeliac disease or gluten intolerance.  There is a wide range of dishes available gluten free - ensure you request...gluten free at time of ordering.  Staff could not be friendlier or more accommodating.  Thoroughly recommend you given them a try.More,Date of visit: March 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Best Malaysian food in Melbourne ,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r564810623-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f0/9f/default-avatar-2020-16.jpg,chrisrk100,4 reviews,Reviewed 6 March 2018 ,The curry laksa and chicken rice are the best in Melbourne and service always friendly. My whole family has been going here for years and we always have fantastic food.,Date of visit: March 2018,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Pricey Malaysian food,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r487510114-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Sabrina S,62 reviews,Reviewed 25 May 2017 ,"Considering it's near a university and away from CBD, the food here is pricey. 
The char kueh tiaw was good but lack seafood, etc and most dishes cost about $15.

Can be busy with students during term time but quiet when the uni goes on...break. 

The cafe is dark on the inside and barely able to look through from the outside, which is less inviting for those who have not visited.More",Date of visit: January 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Excellent,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r485498615-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",LissyL0u,354 reviews,Reviewed 19 May 2017 ,"When you first look at this little place it doesn't wow you to say the least.  But Oh My Goodness, is absolutely excellent.  Service fantastic and so warm.  The meal was exceptional.  I definate favorite that I guarantee you will love.",Date of visit: May 2017,5  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Char Char Char,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r479693008-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Aaron M,2 reviews,Reviewed 28 April 2017 ,"What a great little restaurant. Excellent food. I've been to almost all Malaysian restaurants in Melbourne and the food up here is up there with the best. I'm here with my mother who, being from Penang, is difficult to please, but even she said that...the Char Koay Teow is one of the best she's tried. I really recommend that and the Char Hor Fun. Hor Fun is one my favourites!More",Date of visit: April 2017,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Brilliant as always ,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r474373641-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",jenmY2905OL,5 reviews,Reviewed 11 April 2017 ,"We come here as often as our budget allows, we have come here with the kids and without.
This particular visit, they start serving us were obviously new, but did the absolute best and it was very much service with a smile. The food was...perfect as always.More",Date of visit: March 2017,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Long-standing excellence!,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r462866472-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",au_traveller_77,31 reviews,Reviewed 26 February 2017 ,"I have been coming to dine at Rasa Rasa for more than 10 years, and I am pleased to say that this establishment continues to excel.  It serves a wide range of Malaysian dishes, mainly hawker-style dishes but certainly not limited to this.  There is...an ever-changing specials menu which keeps things interesting. 

Dishes like Char Kwey Teow (CKT) and Laksa Siam / Curry Laksa -- to die for! -- is a highlight. Many of the dishes are rather spicy so if this is an issue for you make sure you ask for mild spice. 

Highly recommended!More",Date of visit: February 2017,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Enough garlic to kill Dracula,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r460723065-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",smurfette12,14 reviews,Reviewed 18 February 2017 ,"When my meal arrived all I could smell was the intense hit of garlic that lingered long after the meal finished. The dish was oily, the noodles soggy and over cooked and minimal and small sized prawns.  Overall a very unpleasant meal that will remain...in memory for quite sometime.  My recommendation is to avoid all together because there were no positives to be found.More",Date of visit: February 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Great service and great food,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r443164539-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Cheng L,166 reviews,Reviewed 10 December 2016 ,We visited around 7pm on Friday and it wasn't too hard to find a car park on the street. The menu offers variety of authentic Malaysian cuisine. The food tasted great and the serve is quite generous. The service is excellent as well and way...beyond the level of service offered by typical Asian restaurants. The price is a little above average but worth the value. The only criticism is the noise level introduced by other patrons in the restaurant. Overall a highly recommended place to try genuine Malaysian cuisine.More,Date of visit: December 2016,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Delicious Singapore street food in comfortable Melbourne restaurant.,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r436039010-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Peter H,35 reviews,Reviewed 10 November 2016 ,"I have eaten dinner at Rasa Rasa with different friends three times. Every time the food was enjoyed and lauded by us all. The menu is not the largest by any means but it is full of fabulous dishes. Their Laksa is fabulous as is...their CKT as they refer to the delicious Char Kway Tiau. The spicy lamb is outstanding as is their Beef with Chinese broccoli. There are also fish and vegetarian dishes as well as a good range of curries. All dishes come in various stages of 'heat"" marked on the menu with one to three cillis to denote the temperature and yes, you can ask for the degree of heat that suits you.  The prices vary from around $14 for the Laksa to $26 for the Spicy lamb. They charge $4 per person for corkage which is not unreasonable.
And yes, I have a booking for two weeks from now for s fourth visit.More",Date of visit: November 2016,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Authentic Malaysian - Lots of Choices!,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r386338561-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Carlins123,30 reviews,Reviewed 27 June 2016 ,"The decor is simple, the welcome warm.  Lots of choice, with hawker type dishes, noodles and substantial mains.  When asked if you prefer mild, medium or hot, hot means HOT!  Particularly liked the murthabak and the crispy chicken with cumquat sauce.  Lots of dessert choices...too. The cendol was delicious, even on a freezing Melbourne night.More",Date of visit: June 2016,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
"Authentic, Yummy Food",https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r357888225-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Netti27,153 reviews,Reviewed 24 March 2016 ,"Great menu including a fantastic choice of Malaysian Street Food, I chose 3 for my main course. My partner chose Curry Trilogy, which was the perfect opportunity to try 3 different curries in perfect small portion sizes, Beef Rendang, Vegetable Curry, Chicken Curry and yummy...Jasmine Rice. I  finished with a yummy desert, Black Sticky Rice (my favourite) with Coconut milk, PERFECT!!!!!
Service excellent, happy welcoming staff, large restaurant and lacked a bit of atmosphere (room could be divided in half), this didn't dampen our opinion of the great restaurant!!More",Date of visit: March 2016,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Great hawker food,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r346011595-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Terry G,23 reviews,Reviewed 9 February 2016 ,"I've been coming to this great little cafe in suburban Caulfield since it opened 12 years ago. It's right across the road from Monash Uni, but it doesn't cater for (cheap) students. Good, tasty, authentic Malaysian cuisine at reasonable prices. There is a good, extensive...menu, but the hawker style dishes are the best. I've tried CKT in lots of places, including Malaysia, and theirs is the best I've had.More",Date of visit: February 2016,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
New name but great food!,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r343191343-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",brenda b,37 reviews,Reviewed 28 January 2016 ,"This restaurant is now named Rasa Rasa but it's still really good Malaysian food. Six of us went there last night and we're glad we did. The staff were all lovely and very obliging. Nothing was too much trouble, and although prices were a little...above other similar Malaysian restaurants, the food was very good indeed. Decor was typical of restaurants in Malaysia and very relaxing. Everyone commented on how tasty their meal was and it was agreed we would all love to go back and work our way through the extensive menu! I was also surprised that parking was very easy, given that daytime parking there is almost impossible. All in all, a great find.More",Date of visit: January 2016,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Tasty Lunch,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r285514586-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f1/b8/default-avatar-2020-22.jpg,LRigonarll,20 reviews,Reviewed 4 July 2015 ,"Visited Rasa for the 1st time recently and we were impressed. The service was goos. We found the food very tasty, the serving sizes were large.. We had a range of dishes including Curry Laksa, Gado Gado, Hokkien Char. The only note I would make...More",Date of visit: July 2015,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,More
Very tasty lunch,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r271464054-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/07/68/89/7f/hmw754.jpg,hmw754,85 reviews,Reviewed 12 May 2015 ,"This local Malaysian in East Malvern serves family style tasty lunches and dinners. We often frequent for lunch. We enjoy the laksa, noodle dishes particularly CKT and the fish with lemongrass. BYO available. It's inexpensive and service is fast, friendly and capable.",Date of visit: May 2015,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Best Malaysian in Melbourne,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r257240030-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/07/1c/2c/18/louise-h.jpg,Louise H,52 reviews,Reviewed 2 March 2015 ,I am a regular diner at Rasa Malaysian cafe (now known as Rasa Rasa).  Variety and quality of dishes is excellent.  if you require gluten free meals ask for the gluten free menu.  Eddie the chef and owner is well aware of the requirements for...More,Date of visit: February 2015,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Malayan Street Food is bold and brilliant,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r254571196-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f3/e4/default-avatar-2020-30.jpg,albear2007,61 reviews,Reviewed 17 February 2015 ,"Now that I have your attention, I admit that I have never tried street food in Malaya!  Nevertheless, I believe that this restaurant's food is styled after Malayan street food. The flavours are brilliant and the food is very fresh to the taste.  I had...More",Date of visit: February 2015,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Authentic Flavours,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r205337960-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-s/01/2a/fd/8c/avatar.jpg,AmitMan,31 reviews,Reviewed 13 May 2014 ,"Visited Rasa Malaysian Cafe recently with a couple of friends. Walking in its apparent that this place is a little different from your typical asian restaurant with its bright vibrant colours decorating the walls, the slightly oversized rounded tables and a lack of images of...More",Date of visit: May 2014,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Attempted ripoff,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r201508694-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/20/default-avatar-2020-31.jpg,Nip647,14 reviews,Reviewed 17 April 2014 ,"Excellent Malaysian food but beware. Diminutive older lady, perhaps the owner, tried to slip a $50 tip onto an $80 bill. Just a pin away from paying it and not amused. Otherwise very good food and attentive service. This event was quite unexpected, disappointing, and...More",Date of visit: February 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Attempted ripoff,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r196709564-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/20/default-avatar-2020-31.jpg,Nip647,14 reviews,Reviewed 9 March 2014 ,"Excellent Malaysian food but beware. Diminutive older lady, perhaps the owner, tried to slip a $50 tip onto an $80 bill. Just a pin away from paying it and not amused. Otherwise very good food and attentive service. This event was quite unexpected, disappointing, and...More",Date of visit: February 2014,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
"20 YEARS on, and I am still returning ... REGULARLY !!",https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r171974975-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/0e/db/bb/0b/themunchermelbourne.jpg,ERIC L,166 reviews,Reviewed 13 August 2013 ,"Consistency in Asian cooking is hard to maintain ... particularly so with individually wok-cooked dishes, like some Malaysian hawker classics: Char-Kway-Teow, Hokkien Noodles, Ipoh-Combination. Here, consistency is ASSURED. Always. If you are in a hurry - go somewhere else - the Team here prides on...More",Date of visit: July 2013,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
"Not my first visit, certainly not my last.",https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r162692244-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-a/01/76/89/80/foreverdreamin.jpg,foreverdreamin,374 reviews,Reviewed 2 June 2013 ,"Went on a Saturday night, first visit in awhile. The staff were the same, efficient & friendly, food fabulous. Probably not the cheapest Malaysian around, but close to enough for me to walk, & it's BYO wine. Restaurant was fairly busy, & they do takeaway....More",Date of visit: June 2013,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
"Delicious food, but not cheap take-away",https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r157294663-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-s/01/2e/70/98/avatar024.jpg,mljstravel,112 reviews,Reviewed 10 April 2013 ,"Excellent food in the small suburban restaurant. Delicious fresh authentic. Not really the most atmospheric place, but made up for by the quality. Take away excellent too. Only downside - not that cheap - expect restaurant prices, not cafe.",Date of visit: March 2013,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
